region,coef_wfi,se,p,n,r2,boot_se,boot_p
domain,-0.0038679455991293362,0.0005004505101141633,1.084566048306782e-14,3366,0.9625379818363592,0.0005037792606223116,0.0
northsea_to_lowcountries,0.00036855333158944664,9.917209989964717e-05,0.00020216107054372463,3366,0.8935876156558681,0.00010321945001814584,0.0
northsea_to_denmark_germany,0.0005038081766661,8.009783744532679e-05,3.1765038625414756e-10,3366,0.8984888210630314,8.584826489500118e-05,0.0
atlantic_to_france,-1.2801246597624267e-06,0.0001537600723725139,0.9933573138531334,3366,0.8766430283014378,0.00016742443019366167,0.91
atlantic_to_iberia,-0.00021340723525574515,5.104394125290821e-05,2.9041706722469783e-05,3366,0.947855838209604,4.8652485704885804e-05,0.0
uk_offshore_to_continent,0.0005525069706235936,5.651348887382973e-05,1.4196687502069915e-22,3366,0.9056214867360034,5.6188976705932554e-05,0.0
