region,variant,wfi_mean_2021,coef_wfi,se,boot_p
domain,A_current,540.0834922875816,-0.0038679455849621757,0.0005004505154482655,0.0
domain,B_dated_only,176.11589584593162,-0.0036424932425040434,0.0010407508656352347,0.0
domain,C_registry_only,166.35218508613264,-0.0038007111378220615,0.0010832337106709956,0.0
northsea_to_lowcountries,A_current,3868.1016196078435,0.0003685533198025255,9.91721020520354e-05,0.0
northsea_to_lowcountries,B_dated_only,2609.7150671105264,0.00024727015404795225,0.00010156854434191094,0.01
northsea_to_lowcountries,C_registry_only,2495.8372446582644,0.0002661555438621925,0.00010340466467514381,0.01
northsea_to_denmark_germany,A_current,4003.014307843138,0.0005038081730904102,8.009783804772284e-05,0.0
northsea_to_denmark_germany,B_dated_only,3306.060289480061,0.000507656923302815,8.742087483716033e-05,0.0
northsea_to_denmark_germany,C_registry_only,3229.977980599113,0.0005280933784469862,8.82765226369668e-05,0.0
atlantic_to_france,A_current,1541.110305882353,-1.280141690393147e-06,0.00015376007015867403,0.91
atlantic_to_france,B_dated_only,145.67975276317262,0.0013909034992352532,0.0007435872855413795,0.03
atlantic_to_france,C_registry_only,112.08937312164036,0.001657155520153333,0.0008442097381401782,0.02
atlantic_to_iberia,A_current,2975.7503052287584,-0.00021340724919849546,5.104394168872119e-05,0.0
atlantic_to_iberia,B_dated_only,2.366255028045676,-0.009895021249191322,0.06007426312894897,0.8
atlantic_to_iberia,C_registry_only,0.0,1.6933600896297542e-12,1.952536128608528e-12,0.97
uk_offshore_to_continent,A_current,3712.051455555555,0.0005525069828691019,5.651348863112593e-05,0.0
uk_offshore_to_continent,B_dated_only,2477.907535462438,0.00034712165429895804,6.477160761741842e-05,0.0
uk_offshore_to_continent,C_registry_only,2347.1949038021176,0.000360809175977631,6.571020411667748e-05,0.0
