country,region,start,end,ndays,wfi_MW,dT_attrib_C,dE_heat_MWh,E_wind_MWh,werr,slope_used,slope_se,beta,beta_se
DE,northsea_to_denmark_germany,2015-07-01,2015-07-07,7,2866.964985714286,1.4444004020182657,5816.969949781848,923432.0,0.006299294317049711,23.9717609336528,6.8257750693386265,0.0005038081766661,8.009783744532679e-05
DE,northsea_to_denmark_germany,2015-08-29,2015-08-31,3,2715.6415,1.3681623925937927,2361.4028491444433,188099.0,0.012554042547511912,23.9717609336528,6.8257750693386265,0.0005038081766661,8.009783744532679e-05
DE,northsea_to_denmark_germany,2016-08-25,2016-08-27,3,3068.580966666667,1.545976181768632,2668.3035435704887,398966.0,0.006688047461614496,23.9717609336528,6.8257750693386265,0.0005038081766661,8.009783744532679e-05
DE,northsea_to_denmark_germany,2016-09-12,2016-09-14,3,3335.3595333333337,1.680381405014561,2900.282494922255,477719.0,0.0060711055974793865,23.9717609336528,6.8257750693386265,0.0005038081766661,8.009783744532679e-05
DE,northsea_to_denmark_germany,2017-05-27,2017-05-29,3,3676.9282666666663,1.8524665257613764,3197.2956979065184,426715.0,0.007492812996746115,23.9717609336528,6.8257750693386265,0.0005038081766661,8.009783744532679e-05
DE,northsea_to_denmark_germany,2017-06-19,2017-06-22,4,3658.22325,1.8430427854200344,4241.374180087932,504853.0,0.008401206252291125,23.9717609336528,6.8257750693386265,0.0005038081766661,8.009783744532679e-05
DE,northsea_to_denmark_germany,2017-07-06,2017-07-08,3,3247.0006333333336,1.6358654687133385,2823.4494673642107,306485.0,0.009212357757685403,23.9717609336528,6.8257750693386265,0.0005038081766661,8.009783744532679e-05
DE,northsea_to_denmark_germany,2018-08-03,2018-08-06,4,3472.3941250000003,1.7494205527823277,4025.9223613168024,467676.0,0.008608357840292857,23.9717609336528,6.8257750693386265,0.0005038081766661,8.009783744532679e-05
DE,northsea_to_denmark_germany,2018-09-11,2018-09-20,10,3828.8289300000006,1.9289953219897147,11097.93952820929,2425183.0,0.004576124576252304,23.9717609336528,6.8257750693386265,0.0005038081766661,8.009783744532679e-05
DE,northsea_to_denmark_germany,2019-06-02,2019-06-04,3,4276.718033333334,2.1546455144886956,3718.8465962465057,606495.0,0.006131701986407977,23.9717609336528,6.8257750693386265,0.0005038081766661,8.009783744532679e-05
DE,northsea_to_denmark_germany,2019-06-25,2019-06-30,6,3918.23065,1.9740366395337277,6814.2433531930365,1324983.0,0.005142891156485054,23.9717609336528,6.8257750693386265,0.0005038081766661,8.009783744532679e-05
DE,northsea_to_denmark_germany,2019-07-23,2019-07-26,4,3934.284,1.9821244485266105,4561.441288399517,754456.0,0.006046000414072546,23.9717609336528,6.8257750693386265,0.0005038081766661,8.009783744532679e-05
DE,northsea_to_denmark_germany,2020-07-27,2020-07-31,5,4150.3303,2.0909703410050673,6014.9089360718335,1427059.0,0.004214898568364611,23.9717609336528,6.8257750693386265,0.0005038081766661,8.009783744532679e-05
DE,northsea_to_denmark_germany,2020-08-08,2020-08-12,5,3728.50432,1.8784509631508768,5403.573289709119,1008628.0,0.005357350073276887,23.9717609336528,6.8257750693386265,0.0005038081766661,8.009783744532679e-05
DE,northsea_to_denmark_germany,2020-09-12,2020-09-20,9,3848.1562888888884,1.9387326034312966,10038.564248486402,1979884.0,0.00507027899032792,23.9717609336528,6.8257750693386265,0.0005038081766661,8.009783744532679e-05
DE,northsea_to_denmark_germany,2015-07-01,2015-07-22,22,2799.3577727272727,1.4103393353138018,17850.791577415766,3354033.0,0.005322187222789927,23.9717609336528,6.8257750693386265,0.0005038081766661,8.009783744532679e-05
DE,northsea_to_denmark_germany,2015-08-29,2015-08-31,3,2715.6415,1.3681623925937927,2361.4028491444433,188099.0,0.012554042547511912,23.9717609336528,6.8257750693386265,0.0005038081766661,8.009783744532679e-05
DE,northsea_to_denmark_germany,2016-08-25,2016-08-28,4,3092.142025,1.557846435607872,3585.0549432705648,614447.0,0.005834604031381982,23.9717609336528,6.8257750693386265,0.0005038081766661,8.009783744532679e-05
