region,lag,transect_flux,mfc,n
northsea_to_lowcountries,-10,-6383973.717303919,-1.7056745e-05,423
northsea_to_lowcountries,-9,-6466889.0778442435,-1.5098108e-05,428
northsea_to_lowcountries,-8,-5723361.94249796,-1.4853687e-05,432
northsea_to_lowcountries,-7,-5573381.779509192,-1.2283463e-05,433
northsea_to_lowcountries,-6,-5860413.79401823,-1.4412466e-05,435
northsea_to_lowcountries,-5,-7640473.310470065,-1.484658e-05,437
northsea_to_lowcountries,-4,-12303219.116263228,-1.7846e-05,439
northsea_to_lowcountries,-3,-17402094.32438953,-2.142292e-05,441
northsea_to_lowcountries,-2,-22978885.18167091,-2.6382288e-05,443
northsea_to_lowcountries,-1,-33133356.305668645,-2.5708116e-05,448
northsea_to_lowcountries,0,-42400449.18921488,-7.732577e-06,449
northsea_to_lowcountries,1,-31393838.78183164,-7.857429e-06,448
northsea_to_lowcountries,2,-19122454.21422998,-1.1571808e-05,447
northsea_to_lowcountries,3,-13149275.88821918,-1.1895251e-05,446
northsea_to_lowcountries,4,-10558401.974278916,-1.4129812e-05,444
northsea_to_lowcountries,5,-10048257.162495568,-1.2838543e-05,443
northsea_to_denmark_germany,-10,-15481291.077428933,-1.4169878e-05,382
northsea_to_denmark_germany,-9,-14724768.339543318,-1.3288382e-05,384
northsea_to_denmark_germany,-8,-13883378.059806524,-1.4675835e-05,388
northsea_to_denmark_germany,-7,-14043288.978403047,-1.5224075e-05,390
northsea_to_denmark_germany,-6,-14564192.255442137,-1.4023124e-05,391
northsea_to_denmark_germany,-5,-13801835.09061907,-1.8067918e-05,393
northsea_to_denmark_germany,-4,-14441649.237454226,-1.7882721e-05,396
northsea_to_denmark_germany,-3,-16885267.924199592,-2.3291414e-05,398
northsea_to_denmark_germany,-2,-20776970.765022226,-2.5929508e-05,398
northsea_to_denmark_germany,-1,-26850260.04075102,-3.5003693e-05,402
northsea_to_denmark_germany,0,-34827134.13494098,-1.2819699e-05,404
northsea_to_denmark_germany,1,-26370261.54290813,-7.716003e-06,403
northsea_to_denmark_germany,2,-18795441.05311363,-1.0523098e-05,402
northsea_to_denmark_germany,3,-15509452.640312094,-1.2821678e-05,401
northsea_to_denmark_germany,4,-15024951.63903535,-1.3181281e-05,400
northsea_to_denmark_germany,5,-14187414.116576264,-1.0863746e-05,399
atlantic_to_france,-10,21323371.714591037,-1.3500132e-05,425
atlantic_to_france,-9,21832821.53085083,-1.1849534e-05,430
atlantic_to_france,-8,22339862.928978138,-1.6723048e-05,433
atlantic_to_france,-7,21709235.070198376,-1.8899105e-05,436
atlantic_to_france,-6,18074757.374391045,-1.9726142e-05,437
atlantic_to_france,-5,16231125.084495405,-1.8262064e-05,438
atlantic_to_france,-4,14543182.62056358,-1.9496034e-05,441
atlantic_to_france,-3,9367906.757275712,-2.3420473e-05,444
atlantic_to_france,-2,1818091.2947378277,-2.480531e-05,446
atlantic_to_france,-1,-11400534.828139016,-1.2971651e-05,450
atlantic_to_france,0,-26163951.298861027,-5.337113e-06,451
atlantic_to_france,1,-20345448.220854893,-2.0191996e-05,450
atlantic_to_france,2,-6042358.817091382,-2.0137823e-05,450
atlantic_to_france,3,4416369.1121534705,-1.9973932e-05,449
atlantic_to_france,4,10019480.188686902,-1.9608238e-05,445
atlantic_to_france,5,15118475.54397973,-2.152153e-05,445
atlantic_to_iberia,-10,21557763.898184836,-6.955962e-06,468
atlantic_to_iberia,-9,21158710.581687413,-7.4683526e-06,472
atlantic_to_iberia,-8,20228018.43210178,-4.6360865e-06,475
atlantic_to_iberia,-7,18181555.66576437,-6.778643e-06,480
atlantic_to_iberia,-6,16611605.017616903,-9.158094e-06,483
atlantic_to_iberia,-5,16243740.765610255,-9.875869e-06,485
atlantic_to_iberia,-4,16189710.299959822,-8.5594675e-06,488
atlantic_to_iberia,-3,14861912.685938586,-9.593381e-06,490
atlantic_to_iberia,-2,8698916.493214486,-1.0582045e-05,492
atlantic_to_iberia,-1,-1530798.1021514842,-8.988215e-06,494
atlantic_to_iberia,0,-10508973.903860433,-9.259946e-06,496
atlantic_to_iberia,1,-4533586.741761513,-1.3857251e-05,495
atlantic_to_iberia,2,7085862.801533235,-1.3403883e-05,493
atlantic_to_iberia,3,15261071.806434214,-1.2020326e-05,490
atlantic_to_iberia,4,19449738.850887887,-1.1867859e-05,484
atlantic_to_iberia,5,21201854.952669594,-1.2128034e-05,482
uk_offshore_to_continent,-10,-15071726.20830154,-1.3231064e-05,419
uk_offshore_to_continent,-9,-15528409.4718435,-1.29361015e-05,424
uk_offshore_to_continent,-8,-14797778.874518214,-1.4501916e-05,428
uk_offshore_to_continent,-7,-13589590.252363462,-9.7655075e-06,429
uk_offshore_to_continent,-6,-12643403.635322945,-1.1960762e-05,431
uk_offshore_to_continent,-5,-13613515.548536623,-1.2738979e-05,433
uk_offshore_to_continent,-4,-17659527.527000353,-1.6543097e-05,436
uk_offshore_to_continent,-3,-20895387.9204712,-1.8910332e-05,437
uk_offshore_to_continent,-2,-24926102.0776537,-2.6541626e-05,439
uk_offshore_to_continent,-1,-33283789.241113756,-2.7978263e-05,444
uk_offshore_to_continent,0,-38582074.464626305,-8.59115e-06,445
uk_offshore_to_continent,1,-30073496.847285375,-4.5621086e-06,444
uk_offshore_to_continent,2,-21713572.052306585,-9.541898e-06,443
uk_offshore_to_continent,3,-18276889.033271473,-9.427697e-06,442
uk_offshore_to_continent,4,-17154663.82912167,-1.2976591e-05,440
uk_offshore_to_continent,5,-17396932.784608997,-1.2364403e-05,439
