outcome,coef,se_hac,p_hac,se_clu,p_clu,boot_se,boot_p
hw_days,0.0002865862617938968,0.00028722272854776986,0.3183840785804375,0.0001224052876464436,0.019217239511039687,0.0005222007425620826,0.336
tmax_anom,6.80611560736326e-05,3.41950896932073e-05,0.04654930558458011,1.7672822871304078e-05,0.00011755184735365526,0.0001088536933834105,0.636
mfc,-1.0521561965677512e-10,3.365965858221882e-10,0.7545946757153841,2.1254564368925999e-10,0.620581768152314,4.007710154982079e-10,0.736
