test,region,coef,p,n
primary,northsea_to_lowcountries,0.0003685533198025255,0.0002021612300980614,
primary,northsea_to_denmark_germany,0.0005038081730904102,3.176505743962308e-10,
primary,atlantic_to_france,-1.280141690393147e-06,0.9933572253860049,
primary,atlantic_to_iberia,-0.00021340724919849546,2.9041676391255155e-05,
primary,uk_offshore_to_continent,0.0005525069828691019,1.4196651232041442e-22,
primary,domain,-0.0038679455849621757,1.0845669912071868e-14,
C1_downwind_exposure,domain,0.0010091442035783087,0.0900622448998397,
C3_placebo_+45d,domain,0.0012107783912934812,0.4782703269002172,
C4_offseason_NovMar,domain,,,
C5_weak_outcome_SST,domain,-0.000364912042644806,0.3860650805343362,
C6_kernel_50km,domain,-0.0081176300858943,4.769609602817232e-07,
C6_kernel_200km,domain,-0.0016098240816159607,3.793407267751651e-12,
C6_kernel_unweighted,domain,-0.0031817779876415256,6.106829397726454e-10,
C7_LOO_drop_northsea_to_lowcountries,regions_minus1,-0.00022054693644346898,0.41838032117808543,
C7_LOO_drop_northsea_to_denmark_germany,regions_minus1,-0.00040667612926501007,0.14797393626592834,
C7_LOO_drop_atlantic_to_france,regions_minus1,0.0005979738570458869,0.001458816554085785,
C7_LOO_drop_atlantic_to_iberia,regions_minus1,0.0018897954060999812,4.544200839910261e-16,
C7_LOO_drop_uk_offshore_to_continent,regions_minus1,-0.0010309380900677932,0.00033076489459271473,
