country,m0_slope,m0_r2_train,m0_r2_test,m0_cv_r2,m1_slope,m1_se,m1_r2_train,m1_r2_test,m1_cv_r2,cdd_base,m1_fold_slopes,sign_stable,m2_slope,m2_se,use_shrunk_primary,slope_final,se_final
DE,36.51841276226187,0.02731760788852866,-0.39221437118472835,-0.30931098087060155,23.971760933652796,5.991125574973982,0.1599800644263285,-0.06070585690614139,-0.11195588133959711,20.0,16.9;31.7;24.9,True,23.98606092510157,5.972067749732363,False,23.971760933652796,5.991125574973982
FR,353.1517327750633,0.0890318079415946,-0.1857479633443868,-0.3195515059747157,336.18806575864426,56.86067713002922,0.14461857970666603,-0.041196017199976565,-0.2285484631067404,22.0,289.2;419.4;404.2,True,222.92523817146343,45.29604473827618,False,336.18806575864426,56.86067713002922
GB,0.0,2.220446049250313e-16,-2.413525274330079,-3.4999118928725834,3.410605131648481e-13,,0.5069405060146148,0.08066619449000745,-1.395387965568144,22.0,0.0;0.0;-0.0,False,,,True,0.0,0.0
ES,170.63673355940162,0.1196192587485545,-0.3997829773037953,-0.5767044936928912,175.9677032131679,39.987470607782164,0.17264406487552075,-1.2777065225249316,-0.9923747500350406,22.0,144.6;208.7;146.8,True,142.77625304329464,35.278521533910656,False,175.9677032131679,39.987470607782164
IT,27.359477119074178,0.04416672484760287,0.07250764114882813,-0.24233578822208382,20.163872010767314,8.319726826471406,0.21416006593361325,-1.7696744484089364,-6.5063457829942095,20.0,5.9;23.7;27.3,True,20.237656545046026,8.268915728436365,False,20.163872010767314,8.319726826471406
NL,114.24566029954676,0.033139912018138595,0.026308464131775344,-0.9051866837113351,44.90793405270915,17.380958801234303,0.48332572965137277,-7.072340514356437,-7.266286394002445,20.0,49.3;74.4;56.2,True,43.953968393559016,16.931449480091214,False,44.90793405270915,17.380958801234303
BE,33.84171425500887,0.053705756961499485,-0.9730507646173607,-1.1294365775452597,20.958865261234656,7.027687721301333,0.12981283846465186,-1.1102483836563222,-1.8686500244017559,20.0,2.1;34.9;26.3,True,21.00476469026314,6.996982797797708,False,20.958865261234656,7.027687721301333
DK,21.744203510128383,0.04878517101377888,-0.07257577449541275,-0.3728862111297297,41.62278663348635,259.23569716643215,0.13509063881179428,-0.5522194491008956,-0.24420658536807385,24.0,-0.0;38.5;38.4,False,27.410516549681414,71.98600344804427,True,27.410516549681414,71.98600344804427
AT,4.665634544839151,0.0005688020387230042,-0.012789487758051,-0.3631107074962377,2.097133992198124,8.410978542922443,0.2526999817979996,-1.6513664399207135,-1.5599087054121916,20.0,0.7;11.3;9.4,True,2.3973220956727803,8.358487718775375,True,2.3973220956727803,8.358487718775375
PL,80.00208490009896,0.06158168871051839,0.131461705403067,-0.24794946308739832,62.43982353377481,12.365175500384042,0.35230348175849246,-1.9092909336984105,-1.6803684561494563,20.0,56.5;73.6;62.2,True,61.47976756323262,12.200182957868831,False,62.43982353377481,12.365175500384042
SE,-8.234373760817771,0.0006225358125026004,-0.037294756511204064,-0.07545655300710778,-37.00665670162229,52.701303689056886,0.07317476181182658,-0.11581705633683703,-0.7348868682664977,24.0,-0.0;-28.2;-18.2,True,-16.081007094047514,43.10739635723582,True,-16.081007094047514,43.10739635723582
NO,-25.34872880377951,0.00014586340809197296,-0.05077839844727161,-0.9092029391695223,33.06916916411724,27.52069474037998,0.15050347546266896,-3.2038909827376614,-19.170529925438824,20.0,-0.0;-4.9;-6.6,False,32.25546947815948,25.833479965883487,True,32.25546947815948,25.833479965883487
FI,60.71544187666164,0.022110847250937593,-0.628121051729416,-1.0644384148431192,23.284711227249687,25.565494010684425,0.09851285899054896,-1.7791543231788491,-2.1343095367642597,20.0,-14.3;26.7;21.4,False,23.591079841949234,24.19601119380022,True,23.591079841949234,24.19601119380022
IE,253.00085906179885,0.008859582110029351,-0.5291656463414895,-0.4100899885838743,89.18349699795387,15.425673553412055,0.3225658573947048,-0.7367772377599935,-0.8088864270295101,22.0,0.0;77.1;98.3,True,86.6238216242573,15.108852370796647,False,89.18349699795387,15.425673553412055
PT,34.165954303310784,0.1403457570993406,-0.03707666956737876,-0.18947261261820306,52.00382036963951,7.937341828385959,0.2328345749135149,-0.8478058538527267,-0.8057716573580297,24.0,40.0;65.9;55.2,True,51.71776219282737,7.893183421441159,False,52.00382036963951,7.937341828385959
CZ,20.845704615504193,0.06509900501757981,0.02149219952528425,-0.5773524538101524,16.231642862629016,4.858201431470862,0.357842218182713,-1.3563355825456656,-1.9673290215078676,20.0,15.2;20.3;19.9,True,16.273465397528508,4.84802292158057,False,16.231642862629016,4.858201431470862
CH,-24.104693861078562,0.0014989053658599483,-0.038900112728994296,-0.7662481801068951,-21.70641923062496,19.75226639497339,0.0645299911076802,-0.5226360474155687,-4.871568337860837,22.0,-3.2;18.5;-2.5,False,-18.59243654429361,19.099838001622857,True,-18.59243654429361,19.099838001622857
