country,region,n_events,werr_mean,werr_lo,werr_hi,werr_mean_coefmc
AT,domain,83,-0.01975719078974574,-0.16918452311454743,0.11849441304665481,-0.022390319208391383
BE,northsea_to_lowcountries,78,0.07101258651286263,0.010808301292281547,0.15292997631799174,0.07087906440977329
CZ,domain,90,-0.8833625748847052,-1.525555239749412,-0.3843838703794881,-0.8912196337245885
DE,northsea_to_denmark_germany,409,0.006650589984164183,0.002759813736694173,0.011500817909250127,0.006671679724410518
DK,northsea_to_denmark_germany,59,0.09093260652722483,0.048781287731084796,0.14163068528454978,0.09226928483042368
ES,atlantic_to_iberia,581,-0.0265087677796659,-0.05058112490429293,-0.005609851555865555,-0.026213483782637412
FR,atlantic_to_france,654,-0.00038624191096474575,-0.09705512456437751,0.09205507327614804,-0.00015011005279095153
GB,uk_offshore_to_continent,355,0.0,0.0,0.0,0.0
IE,uk_offshore_to_continent,59,0.4315470547187969,0.2343265921951115,0.662474281433279,0.43288141589308854
IT,domain,294,-0.03369173025271154,-0.08785098176468077,0.01355863944331348,-0.03498850764519297
NL,northsea_to_lowcountries,49,0.1318079810042434,-0.009231693188901094,0.30594231413856743,0.12802208864450368
PL,domain,297,-0.1533131766774321,-0.22734198876420458,-0.09049606176532765,-0.15593944944752705
PT,atlantic_to_iberia,9,-0.04641852537347771,-0.07463906668054805,-0.021919919746843868,-0.046516221798179574
ALL,-,3017,-0.03550210793057188,-0.06729797568309527,-0.005716675384831221,-0.03567374058273425
