region,analog_delta_hiC,analog_delta_loC,effect_C,boot_se,boot_p,n_hi,n_lo
northsea_to_lowcountries,0.1820882555718954,0.05333040259341847,0.12875785297847692,0.0497888288560128,0.008,1071,1683
northsea_to_denmark_germany,0.15989228515007034,0.11570133214396795,0.04419095300610239,0.05446431904637653,0.448,1071,1683
atlantic_to_france,0.2494124708472415,-0.14905807279421904,0.3984705436414605,0.06595932274494949,0.0,1071,1683
atlantic_to_iberia,0.027897784550177437,-0.32867333533808274,0.3565711198882602,0.054117586118741255,0.0,1071,1683
uk_offshore_to_continent,0.14627299312406167,0.0813260855228996,0.06494690760116206,0.045643314639287745,0.168,1071,1683
domain,0.014198998573034546,-0.06914430922713213,0.08334330780016667,0.02625251881886755,0.0,1071,1683
