country,region,n_events,werr_mean,werr_lo,werr_hi,werr_mean_coefmc
AT,domain,83,-0.04063457990491449,-0.05549884816277097,-0.028128815692095764,-0.04038295528884254
BE,northsea_to_lowcountries,78,0.11466210694838669,0.05826470827570046,0.1771561759831459,0.11626712188613433
CZ,domain,90,-1.1344702372727287,-1.4405125131032808,-0.8580116958672153,-1.1401460173680986
DE,northsea_to_denmark_germany,409,0.010131461636440919,0.006937093627337127,0.013263233869859344,0.010083223758062598
DK,northsea_to_denmark_germany,59,0.047623158561775576,0.032055722239992465,0.06258969373808931,0.04783843604682346
ES,atlantic_to_iberia,581,-0.02570568059016309,-0.03814176294435975,-0.012626303041929675,-0.025564001558359913
FR,atlantic_to_france,654,-0.00040573123518241336,-0.09937380044622093,0.09217661177318068,-0.0003821984479015079
GB,uk_offshore_to_continent,355,0.0,0.0,0.0,0.0
IE,uk_offshore_to_continent,59,1.2242368959170635,0.9204024796008842,1.5625228387113161,1.2186924948403723
IT,domain,294,-0.04571483646034888,-0.05739145133675582,-0.03395651188809044,-0.0457530114029387
NL,northsea_to_lowcountries,49,0.3353191414069194,0.1543590891820349,0.5165128691622088,0.3354139692560781
PL,domain,297,-0.1964351162101482,-0.250034524027303,-0.1502396522020919,-0.19788852249438282
PT,atlantic_to_iberia,9,-0.030496475287213005,-0.045585001550859136,-0.017296521594821132,-0.030506839833192596
ALL,-,3017,-0.02922552421419291,-0.05578553439816542,-0.0029353700538298144,-0.028612829947602825
