country,region,n_events,werr_mean,werr_lo,werr_hi
AT,domain,83,-0.04063457990491449,-0.049379016891136565,-0.033561034955391617
BE,northsea_to_lowcountries,78,0.11466210694838669,0.10662659000498743,0.12306975665470435
CZ,domain,90,-1.1344702372727287,-1.2312791332767654,-1.0476070831631636
DE,northsea_to_denmark_germany,409,0.010131461636440919,0.00982895051052713,0.010452166289105242
DK,northsea_to_denmark_germany,59,0.047623158561775576,0.04247362615516299,0.05285979009027286
ES,atlantic_to_iberia,581,-0.02570568059016309,-0.026461796960219403,-0.024959023692312017
FR,atlantic_to_france,654,-0.00040573123518241336,-0.0004154349679076046,-0.0003967108395663118
GB,uk_offshore_to_continent,355,0.0,0.0,0.0
IE,uk_offshore_to_continent,59,1.2242368959170635,1.0242083722458062,1.4699888260045617
IT,domain,294,-0.04571483646034888,-0.04828069630580346,-0.04328282206805595
NL,northsea_to_lowcountries,49,0.3353191414069194,0.2930630028033583,0.3795504365703277
PL,domain,297,-0.1964351162101482,-0.2100968299300807,-0.18329264596791206
PT,atlantic_to_iberia,9,-0.030496475287213005,-0.03450128519840574,-0.02683705947031106
ALL,-,3017,-0.02922552421419291,-0.039189847932605736,-0.017701469304965134
