test,region,coef,p,n,p_fdr
primary,northsea_to_lowcountries,0.0003685533198025255,0.0002021612300980614,,0.00024259347611767365
primary,northsea_to_denmark_germany,0.0005038081730904102,3.176505743962308e-10,,6.353011487924616e-10
primary,atlantic_to_france,-1.280141690393147e-06,0.9933572253860049,,0.9933572253860049
primary,atlantic_to_iberia,-0.00021340724919849546,2.9041676391255155e-05,,4.3562514586882736e-05
primary,uk_offshore_to_continent,0.0005525069828691019,1.4196651232041442e-22,,8.517990739224866e-22
primary,domain,-0.0038679455849621757,1.0845669912071868e-14,,3.2537009736215605e-14
