country,slope_MW_per_C,intercept,r2_train,r2_test,n_train,n_test,cdd_base
AT,4.665633847843801,24.47508573454755,0.0005688018570562114,-0.012789488277226368,612,306,22.0
BE,33.84171409761594,86.76402811489156,0.05370575603705452,-0.9730507679285214,612,306,22.0
CH,-24.104693500041446,-7.345126705857675,0.0014989053358231974,-0.038900114614423664,612,306,22.0
CZ,20.845705096909196,-2.88773118349047,0.06509900746881625,0.021492199992214744,612,306,22.0
DE,36.518410672667436,64.49515377503455,0.02731760588338583,-0.39221436872792137,612,306,22.0
DK,21.74420485381296,-4.905753461068751,0.04878517421191242,-0.07257577734704124,612,306,22.0
ES,170.6367346298176,-155.7772615885545,0.11961926096304154,-0.3997829775902402,612,306,22.0
FI,60.715439408902874,56.621775069352324,0.02211084630899285,-0.6281210531003898,612,306,22.0
FR,353.1517303058581,203.95760103134816,0.08903180738546057,-0.18574796225900903,612,306,22.0
GB,0.0,1097.2177717151674,0.0,-2.413525274330079,612,306,22.0
IE,253.00074774684396,-30.635676036781195,0.008859577878921998,-0.5291656427536784,612,291,22.0
IT,27.359476775623527,-69.21049869382549,0.044166724094559906,0.07250763955463024,612,306,22.0
NL,114.24566080280219,-200.15659426310404,0.03313991253947246,0.026308460884529095,612,306,22.0
NO,-25.348723886655744,25.483485828830354,0.0001458633672369869,-0.05077839920945415,612,306,22.0
PL,80.00208630341218,-71.09535021347446,0.06158168956837495,0.13146171182074595,612,306,22.0
PT,34.16595443270016,-34.21862573701409,0.14034575819814543,-0.03707666674062593,612,305,22.0
SE,-8.234373548012618,16.27403760507731,0.0006225357693030453,-0.03729475594070175,612,306,22.0
